				
				
				
				
				
				
"
 Martin Noak

 Mail:  martin.noak@desy.de
 Geb.: 1e/ Raum EG.513 
 Tel.:  3329
"	"
 Messdatum: TT.MM.2010
 
"			
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
"Point Group
Berechnung IstPositionen::LGEM_Transfer_06072011.txt1"				
Point Name		X	Y	Z
L1DM		1980.4291	511.9394	-2.4031
L1UB		1888.785	493.9096	-83.1054
L1UM		1922.3459	335.7168	-6.6193
L1UT		1888.1956	490.4273	76.7999
L2DM		2309.8374	584.5141	-0.8777
L2UB		2217.2142	564.9629	-81.5056
L2UM		2250.4954	408.1465	-1.933
L2UT		2217.2527	564.264	78.6649
L3DB		2661.3511	662.2433	-79.6731
L3DM		2694.5577	504.6413	-1.1654
L3DT		2661.8614	660.4384	80.6598
L3UB		2569.8995	642.2319	-79.8465
L3UM		2603.1703	484.9683	-0.7892
L3UT		2570.2752	641.3547	80.3158
LGEM.1		2541.97	554.4863	-70.1909
LGEM.2		2554.613	485.3369	-0.8162
LGEM.3		2130.1026	464.7386	68.3646
LGEM.4		2144.8824	396.5424	-1.5324
LGEM.5		1802.7638	393.621	67.1579
LGEM.6		1819.2126	325.8752	-3.0114
LGEMREF.1		2637.6469	717.2518	79.7598
LGEMREF.2		2637.9235	718.306	-77.4179
LGEMREF.3		1796.694	535.079	76.0435
LGEMREF.4		1797.1255	535.5325	-81.0044
"Point Group
Berechnung IstPositionen::RGEM_Transfer_06072011.txt1"				
Point Name		X	Y	Z
R1DM		1977.1364	-507.1108	-6.2674
R1UB		1884.3552	-489.5161	-86.7416
R1UM		1917.0983	-331.2111	-9.9774
R1UT		1884.2436	-486.1376	73.2596
R2UB		2213.5451	-558.7178	-84.7929
R2UM		2246.5576	-400.9183	-6.7561
R2UT		2213.433	-556.6055	75.1101
R3DB		2659.6739	-653.9178	-82.2132
R3DM		2692.7815	-496.2944	-3.8848
R3DT		2659.3527	-652.1975	77.9145
R3UM		2601.5089	-477.1204	-4.8448
RGEM.1		1799.1099	-389.3998	-78.2694
RGEM.2		1813.6752	-320.1923	-9.1635
RGEM.3		2125.7524	-458.9345	-75.8659
RGEM.4		2143.8978	-390.471	-7.0122
RGEM.5		2539.898	-545.2902	66.0585
RGEM.6		2553.1094	-477.4347	-4.7199
RGEMREF.1		1794.1721	-528.9702	71.9931
RGEMREF.2		1793.9762	-530.9566	-84.6274
RGEMREF.3		2634.9157	-708.1827	77.2713
RGEMREF.4		2634.9044	-710.3266	-79.5976
