				
				
				
				
				
				
"
 Martin Noak

 Mail:  martin.noak@desy.de
 Geb.: 1e/ Raum EG.513 
 Tel.:  3329
"	"
 Messdatum: TT.MM.2010
 
"			
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
"Point Group
Berechnung IstPositionen::GEMs_links_transformation_ohne_subframe_punkte - IST"				
Point Name		X	Y	Z
FDG.6		3679.6271	897.7095	1075.0261
FDG.7		3548.3088	684.8318	1088.6934
FDG.8		3536.7349	687.2505	-301.8089
FDG.9		3676.8886	899.4276	-123.6412
FDG.10		3674.5145	904.0808	-1073.075
FDG.15		-66.6683	2549.6083	-1680.7626
FDG.16		-111.9066	2272.0986	-692.1391
FDG.17		-112.0479	2270.3162	-26.6698
FDG.18		-110.5514	2226.9725	1416.3038
L1UB		1888.7927	493.9206	-83.0899
L1UM		1922.3162	335.7103	-6.5868
L1UT		1888.1141	490.4222	76.8169
L3DB		2661.3786	662.3071	-79.6112
L3DM		2694.6226	504.6779	-1.1506
L3DT		2661.8871	660.4656	80.7332
LCBIDI		1380.5452	469.2627	-146.9776
LCBIDO		1434.8036	627.501	-206.9254
LCBIMI		751.496	655.231	-223.7142
LCBIMO		805.7457	813.4983	-283.8701
LCBIUI		122.5167	840.4403	-302.7027
LCBIUO		176.6839	998.7844	-362.5349
LCBMDI		1987.8139	684.379	-232.5875
LCBMDO		2075.4013	938.9304	-331.8036
LCBMMI		1068.4877	956.0491	-346.3078
LCBMMO		1156.0464	1210.4859	-445.6871
LCBMUI		149.1932	1227.3315	-460.7351
LCBMUO		236.6923	1481.8263	-560.0201
LCBODI		2619.8654	969.0065	-341.5159
LCBODO		2679.7433	1140.8715	-416.3195
LCBOMI		1458.6089	1312.3813	-483.8347
LCBOMO		1518.5645	1484.1111	-558.8237
LCBOUI		297.6319	1654.7099	-630.3797
LCBOUO		357.7329	1826.4014	-705.6208
LCDIIB		1620.0525	482.8076	-91.7778
LCDIIM		1465.6989	429.0687	-3.2229
LCDIIT		1619.6468	482.3341	85.9792
LCDIOB		1916.8776	586.7381	-128.0537
LCDIOM		1822.1861	553.5511	-1.557
LCDIOT		1915.5547	586.2856	126.0095
LCDMIB		2293.4464	719.5112	-151.6118
LCDMIM		2057.4033	636.6209	-0.0702
LCDMIT		2292.5622	718.6956	153.1404
LCDMOB		2672.2071	851.7669	-188.2298
LCDMOT		2671.1094	850.5736	192.7209
LCOIIB		22.0741	963.4728	-272.1312
LCOIIM		11.0953	877.023	-5.7296
LCOIIT		21.2114	961.4499	261.3835
LCOIOB		44.8906	1148.3071	-283.994
LCOIOM		37.935	1099.1752	-4.8006
LCOIOT		43.2604	1146.3729	274.7758
LCOMIB		74.1658	1383.6401	-383.9611
LCOMIM		56.7162	1245.8145	-3.4905
LCOMIT		71.9949	1380.8802	377.9786
LCOMOB		103.0089	1619.1516	-434.2395
LCOMOM		96.0515	1569.3449	-2.6179
LCOMOT		100.6513	1616.2807	429.3387
LCOOIB		126.5908	1803.4515	-535.5173
LCOOIM		113.6136	1716.358	-2.2681
LCOOIT		123.0813	1800.0593	531.586
LCTIDI		1379.9589	468.5125	140.4242
LCTIDO		1433.9955	626.4695	201.4572
LCTIMI		750.6046	654.1818	215.1226
LCTIMO		804.5223	811.929	276.7635
LCTIUI		121.2948	838.553	292.5532
LCTIUO		175.1044	996.5687	353.5245
LCTMDI		1986.4621	683.1848	232.0211
LCTMDO		2073.532	937.1748	333.0934
LCTMMI		1066.5983	954.3472	342.0188
LCTMMO		1153.65	1208.1686	443.3707
LCTMUO		233.8457	1478.5109	555.637
LCTODI		2617.6014	966.9569	346.9698
LCTODO		2677.0084	1138.4321	423.0556
LCTOMI		1455.4273	1309.3712	484.6609
LCTOMO		1515.0357	1480.766	560.6204
LCTOUI		293.7085	1650.9316	626.7176
LCTOUO		353.439	1822.126	703.1262
LFDIM		3548.3143	711.7649	-389.4014
LFDIT		3544.3428	710.8041	217.9964
LFDSB		3649.7956	859.8357	-1130.9812
LFDSM		3651.9437	847.2412	-411.6562
LFDST		3652.8443	852.8526	-5.0369
LFUOB		-44.6731	2621.8374	-1212.8344
LFUOM		-46.871	2466.4634	-881.5475
LFUSM		-87.3551	2225.0416	-846.019
LFUST		-87.601	2234.3873	-79.9386
LGEMREF.1		2637.6893	717.1465	79.6831
LGEMREF.2		2637.9439	718.3092	-77.5128
LGEMREF.3		1796.6423	535.0039	76.0113
